"Date","Open","High","Low","Close"
"6/5/2008","4586.950195","4690.600098","4536.25","4676.950195"
"6/6/2008","4680.549805","4746.299805","4614.25","4627.799805"
"6/9/2008","4626.450195","4626.450195","4411.600098","4500.950195"
"6/10/2008","4522","4522.549805","4369.799805","4449.799805"
"6/11/2008","4469.649902","4541.049805","4468.049805","4523.600098"
"6/12/2008","4524.399902","4550","4392","4539.350098"
"6/13/2008","4539.5","4563.350098","4491.350098","4517.100098"
"6/16/2008","4536.299805","4617.700195","4536.299805","4572.5"
"6/17/2008","4572.5","4664.049805","4561.75","4653"
"6/18/2008","4652.799805","4679.75","4569.899902","4582.399902"
"6/19/2008","4582.549805","4585.700195","4488.950195","4504.25"
"6/20/2008","4504.200195","4532","4333.600098","4347.549805"
"6/23/2008","4351.149902","4351.149902","4225.5","4266.399902"
"6/24/2008","4271.049805","4305.899902","4156.100098","4191.100098"
"6/25/2008","4189.600098","4264.549805","4093.199951","4252.649902"
"6/26/2008","4252.600098","4324.75","4230","4315.850098"
"6/27/2008","4315.299805","4315.299805","4119.200195","4136.649902"
"6/30/2008","4136.25","4163","4021.699951","4040.550049"
"7/1/2008","4039.75","4075.399902","3878.199951","3896.75"
"7/2/2008","3895.300049","4107.149902","3848.25","4093.350098"
"7/3/2008","4094.600098","4097.350098","3874.850098","3925.75"
"7/4/2008","3926.649902","4033.5","3896.399902","4016"
"7/7/2008","4002","4114.5","4002","4030"
"7/8/2008","4028.699951","4028.699951","3896.050049","3988.550049"
"7/9/2008","3990.899902","4169.399902","3990.899902","4157.100098"
"7/10/2008","4155.649902","4187.950195","4110.399902","4162.200195"
"7/11/2008","4166","4215.5","4014.449951","4049"
"7/14/2008","4047.449951","4118.100098","4004.25","4039.699951"
"7/15/2008","4039.300049","4040.699951","3835.5","3861.100098"
"7/16/2008","3861.550049","3920.050049","3790.199951","3816.699951"
"7/17/2008","3823.149902","3968.75","3823.149902","3947.199951"
"7/18/2008","3962.949951","4110.549805","3926.300049","4092.25"
"7/21/2008","4092.199951","4168.149902","4072.75","4159.5"
"7/22/2008","4158.450195","4262.450195","4137.950195","4240.100098"
"7/23/2008","4246.700195","4491.549805","4246.700195","4476.799805"
"7/24/2008","4476.200195","4539.450195","4385.850098","4433.549805"
"7/25/2008","4440.850098","4440.850098","4297.149902","4311.850098"
"7/28/2008","4282.25","4352.649902","4282.25","4332.100098"
"7/29/2008","4332.200195","4332.200195","4159.149902","4189.850098"
"7/30/2008","4191.200195","4327","4191.200195","4313.549805"
"7/31/2008","4314.350098","4342","4285.549805","4332.950195"
"8/1/2008","4331.600098","4422.950195","4235.700195","4413.549805"
"8/4/2008","4426.100098","4436.149902","4362.899902","4395.350098"
"8/5/2008","4395.799805","4515.149902","4376","4502.850098"
"8/6/2008","4506.25","4615.899902","4503.899902","4517.549805"
"8/7/2008","4515.25","4580.149902","4493.700195","4523.850098"
"8/8/2008","4518.350098","4546.350098","4464","4529.5"
"8/11/2008","4529.350098","4625.200195","4529.350098","4620.399902"
"8/12/2008","4620.950195","4649.850098","4525.75","4552.25"
"8/13/2008","4548.049805","4572.649902","4497.25","4529.049805"
"8/14/2008","4524.200195","4529.799805","4421.25","4430.700195"
"8/18/2008","4430.700195","4447.399902","4379.850098","4393.049805"
"8/19/2008","4393.100098","4393.700195","4316.549805","4368.25"
"8/20/2008","4365.450195","4434.899902","4365.450195","4415.75"
"8/21/2008","4416.200195","4418.549805","4271.299805","4283.850098"
"8/22/2008","4283.850098","4337","4248","4327.450195"
"8/25/2008","4317.950195","4398.799805","4317.950195","4335.350098"
