EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY
NSE,D,51311,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57600 PUT,OP,NA,35,12/30/2025,57600,PE,5,M,N,N,N,NA
NSE,D,51318,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57700 CALL,OP,NA,35,12/30/2025,57700,CE,5,M,N,N,N,NA
NSE,D,51319,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57700 PUT,OP,NA,35,12/30/2025,57700,PE,5,M,N,N,N,NA
NSE,D,51320,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57800 CALL,OP,NA,35,12/30/2025,57800,CE,5,M,N,N,N,NA
NSE,D,51321,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57800 PUT,OP,NA,35,12/30/2025,57800,PE,5,M,N,N,N,NA
NSE,D,51322,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57900 CALL,OP,NA,35,12/30/2025,57900,CE,5,M,N,N,N,NA
NSE,D,51323,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57900 PUT,OP,NA,35,12/30/2025,57900,PE,5,M,N,N,N,NA
NSE,D,51352,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58000 CALL,OP,NA,35,12/30/2025,58000,CE,5,M,N,N,N,NA
NSE,D,51353,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58000 PUT,OP,NA,35,12/30/2025,58000,PE,5,M,N,N,N,NA
NSE,D,51354,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58100 CALL,OP,NA,35,12/30/2025,58100,CE,5,M,N,N,N,NA
NSE,D,51355,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58100 PUT,OP,NA,35,12/30/2025,58100,PE,5,M,N,N,N,NA
NSE,D,51356,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58200 CALL,OP,NA,35,12/30/2025,58200,CE,5,M,N,N,N,NA
NSE,D,51357,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58200 PUT,OP,NA,35,12/30/2025,58200,PE,5,M,N,N,N,NA
NSE,D,51370,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58300 CALL,OP,NA,35,12/30/2025,58300,CE,5,M,N,N,N,NA
NSE,D,51371,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58300 PUT,OP,NA,35,12/30/2025,58300,PE,5,M,N,N,N,NA
NSE,D,51374,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58400 CALL,OP,NA,35,12/30/2025,58400,CE,5,M,N,N,N,NA
NSE,D,51375,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58400 PUT,OP,NA,35,12/30/2025,58400,PE,5,M,N,N,N,NA
NSE,D,51388,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58600 CALL,OP,NA,35,12/30/2025,58600,CE,5,M,N,N,N,NA
NSE,D,51389,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58600 PUT,OP,NA,35,12/30/2025,58600,PE,5,M,N,N,N,NA
NSE,D,51395,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58700 CALL,OP,NA,35,12/30/2025,58700,CE,5,M,N,N,N,NA
NSE,D,51396,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58700 PUT,OP,NA,35,12/30/2025,58700,PE,5,M,N,N,N,NA
NSE,D,51397,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58800 CALL,OP,NA,35,12/30/2025,58800,CE,5,M,N,N,N,NA
NSE,D,51398,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58800 PUT,OP,NA,35,12/30/2025,58800,PE,5,M,N,N,N,NA
NSE,D,51412,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 58900 CALL,OP,NA,35,12/30/2025,58900,CE,5,M,N,N,N,NA
